ritesh,-,1200.00,-,-,-,1764130363,Deposit
ritesh,-,200.00,-,-,-,1764130403,Withdraw
ritesh,ritesh,1200.00,0000199f4bc2d7ba,006f78b56a2c9f456a6a73557d583aebd7982901cb3b480cfd276fcf3cd205455230cc82e29667f302576f82d1796232a1a7177e0df890a9a720e5aa355ba7e7,130149,1764130914
ritesh,-,1200.00,N/A,N/A,N/A,1764131579, Deposit
ritesh,ritesh,120.00,00007408727586f6,0005fc935bd91f999f1dde89907932cf20e4efe187919fadd70923da47a26eddd0d5d97a651b3036a3ff8f28d4d74d56d09b10e987327d1b02fd31ec3bdfbc25,130149,1764131723, -
ritesh,-,1200.00,N/A,N/A,N/A,1764133237, Withdraw
ritesh,-,1200.00,N/A,N/A,N/A,1764133237, Deposit
ritesh,ritesh,1200.00,000072824c399372,00b7908012a31618502b6d620cfaa81c857c0e2c8a37fa382b2e55c3a8ef7dca53ecbe947ac13de8ce22d86f61af6307ce1232daafd8c01ec62cfe28a0cc0b5e,120201,1764134432, Transfer
dwij,-,1200.00,N/A,N/A,N/A,1764151647, Deposit
dwij,ritesh,1200.00,00005ebf00e9eaf3,00f64e8e4512cec8c45e954672ecc920ea0ee305ffa7b825bc95534fcf0b61ba6aafa2a0487c3f218d1c6d59f09afe4e86bd3af786f9cb55978bf08b98cc308f,120201,1764151746, Transfer
ritesh,dwij,1200.00,00000c952ce8d3cf,00a238b7f53af52d9fbbc24d08f9c6720d5f064ff9edce0ca91255c0b5b50c6af0f61c485c83127764ad812c3df3db89b4a6beb78da724da7f5f986c9734621f,101898,1764152671, Transfer
dwij,-,1200.00,N/A,N/A,N/A,1764152810, Withdraw
ritesh,-,1200.00,N/A,N/A,N/A,1764152810, Deposit
